Î²,sre
0.1,0.0018038040414054546
0.5,0.039518638027092656
1.0,0.11783468034923383
1.5,0.19056017847023887
2.0,0.2467822503313739
2.5,0.28850895149340205
3.0,0.3196390310536461
3.5,0.3433332969366325
4.0,0.36181654855299517
4.5,0.3765881669027089
5.0,0.3886860610085918
5.5,0.39884928943991227
6.0,0.40762355888674096
6.5,0.41543199614749327
7.0,0.42265511333599814
7.5,0.4296293960034365
8.0,0.43668554621999967
8.5,0.4442025950469537
9.0,0.4525535354130481
9.5,0.46194342781488995
10.0,0.5009551478127872
10.5,0.5176122626644579
11.0,0.5308512297744006
11.5,0.5404629437697483
12.0,0.5488106928687815
12.5,0.555954680708771
13.0,0.5634226389636865
13.5,0.5704094914286326
14.0,0.5774651888532922
14.5,0.5856504067864527
15.0,0.593780154551034
15.5,0.6031841206088835
16.0,0.6141352626248526
16.5,0.6245086400953532
17.0,0.6390730597005057
17.5,0.6528484983325864
18.0,0.6684836954985709
18.5,0.6905405913856484
19.0,0.711227645317491
19.5,0.7346036138432979
20.0,0.7609646077145538
20.5,0.7906276539912955
21.0,0.823931646299437
21.5,0.8612387007287747
22.0,0.9029346401357188
22.5,0.9494303272853202
23.0,1.001162751631183
23.5,1.058596157044894
24.0,1.122223366685855
24.5,1.1925671347810045
25.0,1.2701817402606874
25.5,1.3556544777845598
26.0,1.449607506682371
26.5,1.5812487461848903
27.0,1.6971227616188926
27.5,1.8238160400199526
28.0,1.962126317486419
28.5,2.1128982815755
29.0,2.3240404880576087
29.5,2.506900695240649
30.0,2.7054053917225183
30.5,2.9206372310605495
31.0,3.222214454384858
31.5,3.480463457109831
32.0,3.7595277288375826
32.5,4.150871968775721
33.0,4.483450646186345
33.5,4.950160337010665
34.0,5.344914425397107
34.5,5.8993277936307145
35.0,6.509649150890716
35.5,7.022461619362129
36.0,7.743659696609257
36.5,8.535508483490396
37.0,9.404212851416002
37.5,10.356487932573394
38.0,11.3995995456531
38.5,12.541407487311641
39.0,13.790412639160209
39.5,15.155807170902957
40.0,16.647528958627053
