Î²,purity,weight
0.1,1.5035928590344319,7.62939453125e-6
0.5,1.5883553857389,7.62939453125e-6
1.0,1.834762058686654,7.62939453125e-6
1.5,2.198565906421707,7.62939453125e-6
2.0,2.640852796575405,7.62939453125e-6
2.5,3.133736630501053,7.62939453125e-6
3.0,3.6593680252580003,3.814697265625e-5
3.5,4.206684848335778,8.392333984375e-5
4.0,4.768777112452978,0.00020599365234375
4.5,5.341247230656449,0.00043487548828125
5.0,5.92119333642565,0.00087738037109375
5.5,6.506634342560578,0.00171661376953125
6.0,7.096170115642147,0.00322723388671875
6.5,7.688772792731423,0.00580596923828125
7.0,8.283622920674036,0.01013946533203125
7.5,8.880058227188222,0.01714324951171875
8.0,9.47750138679809,0.02806854248046875
8.5,10.075383373886236,0.04471588134765625
9.0,10.673182526800575,0.06914520263671875
9.5,11.27057582022904,0.10271453857421875
10.0,11.838885284004315,0.14583587646484375
10.5,12.430010929972957,0.19167327880859375
11.0,13.024952808761775,0.22957611083984375
11.5,13.62386757652608,0.25716400146484375
12.0,14.224348178261868,0.27991485595703125
12.5,14.82629752231683,0.29817962646484375
13.0,15.428156608517288,0.31482696533203125
13.5,16.03070372410902,0.32875823974609375
14.0,16.63336598834977,0.34102630615234375
14.5,17.23506284905892,0.35271453857421875
15.0,17.836962030905763,0.36281585693359375
15.5,18.437718778434164,0.37239837646484375
16.0,19.037046895346993,0.38147735595703125
16.5,19.637059655590004,0.38910675048828125
17.0,20.232977923499583,0.39728546142578125
17.5,20.82977254074971,0.40409088134765625
18.0,21.42478657536954,0.41051483154296875
18.5,22.013450750695448,0.41747283935546875
19.0,22.60355001478797,0.42317962646484375
19.5,23.191019667390773,0.42855072021484375
20.0,23.775558222200157,0.43361663818359375
20.5,24.35684377568928,0.43839263916015625
21.0,24.93453297871448,0.44286346435546875
21.5,25.50825970563604,0.44707489013671875
22.0,26.07763441195799,0.45102691650390625
22.5,26.64224283898432,0.45471954345703125
23.0,27.201644874815514,0.45818328857421875
23.5,27.755373397602366,0.46141815185546875
24.0,28.302932925318387,0.46443939208984375
24.5,28.84379822653835,0.46726226806640625
25.0,29.377412767622992,0.46988677978515625
25.5,29.903187113798833,0.47232818603515625
26.0,30.42049710512586,0.47458648681640625
26.5,30.90013301306904,0.47711944580078125
27.0,31.395548505207792,0.47904205322265625
27.5,31.880155504200605,0.48081207275390625
28.0,32.35315473358043,0.48246002197265625
28.5,32.81370007136802,0.48397064208984375
29.0,33.213881588593644,0.48567962646484375
29.5,33.642350274680304,0.48693084716796875
30.0,34.05517844601568,0.48810577392578125
30.5,34.45128228706907,0.48917388916015625
31.0,34.76104245212981,0.49037933349609375
31.5,35.114131548479314,0.49126434326171875
32.0,35.44640506352317,0.49207305908203125
32.5,35.66639740297374,0.49298858642578125
33.0,35.945153161642246,0.49365997314453125
33.5,36.089774943944875,0.49442291259765625
34.0,36.306348504539855,0.49495697021484375
34.5,36.36325819904921,0.49558258056640625
35.0,36.36425457882868,0.49613189697265625
35.5,36.46275377558793,0.49652862548828125
36.0,36.35286054963583,0.49698638916015625
36.5,36.17230921032337,0.49738311767578125
37.0,35.91489417196385,0.49773406982421875
37.5,35.573899691226856,0.49805450439453125
38.0,35.14205936619898,0.49832916259765625
38.5,34.61151276639115,0.49857330322265625
39.0,33.973758480639674,0.49878692626953125
39.5,33.21960373989753,0.49897003173828125
40.0,32.33911015432157,0.49912261962890625
